pubid,avg_earn_2014_to_2018,hgc_ever,asvab,female,black,hispanic
400,58450.28237559783,16.0,882.6,1,0,0
401,4892.290249433106,14.0,590.49,0,0,0
403,7007.253291820737,13.0,261.95,1,1,0
404,64704.654150990275,18.0,461.87,0,0,0
406,47438.11984097637,16.0,941.29,1,0,0
408,55989.985946142086,14.0,508.83,0,1,0
411,28087.93194162607,13.0,249.68,1,0,1
412,16214.023267192144,20.0,307.4,0,0,1
414,0.0,12.0,160.2,1,1,0
415,74815.05804456484,17.0,168.17,1,0,0
416,312124.0813843135,20.0,995.61,1,0,0
417,143525.04716717597,16.0,284.89,1,0,0
419,52122.519413287315,15.0,909.36,0,0,0
424,137988.75604311324,17.0,830.87,1,0,1
425,78478.29579676475,20.0,965.31,1,0,0
426,13459.262725852,12.0,24.17,1,0,1
427,38957.40225702249,12.0,152.42,0,0,1
428,46265.89802512413,11.0,86.18,1,0,1
429,0.0,9.0,415.16,0,0,0
432,43945.78250337433,12.0,209.73,0,0,1
434,41292.390945240564,13.0,346.4,0,0,0
437,0.0,12.0,424.67,1,0,1
438,55021.44396956297,11.0,224.5,0,0,1
439,0.0,11.0,9.99,1,0,1
440,34880.13166230233,14.0,308.44,0,0,1
441,10665.741490729166,10.0,47.9,0,0,1
454,43435.432844406096,13.0,577.42,0,0,1
456,85613.14663396451,20.0,686.66,0,0,1
459,21717.716422203048,15.0,471.2,1,0,1
460,27812.121776607324,12.0,20.1,1,0,1
461,23402.521545223917,11.0,139.78,1,0,1
464,31895.09916974406,12.0,262.73,1,0,1
466,78268.35383243767,10.0,74.68,0,0,1
471,25869.75750292892,12.0,191.46,0,0,1
472,64542.270809716014,16.0,405.5,1,0,1
475,20338.356503084407,13.0,154.63,0,0,1
482,270491.8395091338,12.0,306.29,0,1,0
483,111086.70674295402,19.0,949.74,0,0,1
484,26049.477671028944,20.0,669.3,1,0,1
487,97927.23834599093,17.0,65.38,0,0,0
488,0.0,12.0,264.52,1,0,0
490,11690.598753725275,17.0,987.86,0,0,0
491,0.0,16.0,449.76,0,0,0
